Date,Amount,Description,Category,Method of purchase
1-1-17,$1000.00,rent,rent,cash
1-2-17,$227.00,hat,food,check
1-5-17,$102.00,car,car,check
1-16-17,$6.00,gas,car,smiles
1-18-17,$278.00,confetti,gifts,card
1-19-17,$174.00,car,misc,check
1-21-17,$105.00,confetti,car,card
1-25-17,$7.00,blanket,misc,check
1-27-17,$91.00,gas,car,smiles
2-1-17,$1000.00,rent,rent,smiles
2-3-17,$123.00,blanket,car,check
2-9-17,$291.00,gas,gifts,cash
2-10-17,$157.00,gas,car,check
2-19-17,$167.00,gas,gifts,card
2-22-17,$249.00,book,food,check
3-1-17,$1000.00,rent,rent,smiles
3-5-17,$21.00,car,misc,check
3-6-17,$239.00,antifreeze,gifts,smiles
3-7-17,$153.00,bills,misc,cash
3-7-17,$101.00,hat,gifts,cash
3-13-17,$183.00,bills,rent,card
4-1-17,$1000.00,rent,rent,card
4-4-17,$78.00,hat,misc,check
4-6-17,$110.00,gas,food,check
4-11-17,$163.00,gas,food,cash
4-26-17,$211.00,blanket,car,smiles
5-1-17,$1000.00,rent,rent,card
5-4-17,$195.00,book,gifts,cash
5-7-17,$197.00,gas,car,smiles
5-9-17,$155.00,gas,gifts,check
5-12-17,$203.00,hat,car,check
5-12-17,$117.00,antifreeze,food,cash
5-14-17,$182.00,bills,rent,cash
5-14-17,$58.00,confetti,misc,cash
5-17-17,$117.00,hat,rent,cash
5-20-17,$50.00,antifreeze,misc,cash
5-25-17,$120.00,antifreeze,car,smiles
5-26-17,$176.00,blanket,gifts,card
5-28-17,$43.00,book,misc,check
6-1-17,$1000.00,rent,rent,cash
6-1-17,$100.00,car,gifts,card
6-10-17,$279.00,book,rent,smiles
6-10-17,$284.00,book,rent,card
6-12-17,$212.00,book,food,cash
6-13-17,$253.00,car,car,cash
6-15-17,$238.00,hat,rent,smiles
6-18-17,$114.00,groceries,misc,cash
6-19-17,$189.00,bills,misc,smiles
6-21-17,$265.00,groceries,food,card
6-23-17,$230.00,blanket,food,cash
6-28-17,$115.00,blanket,misc,card
7-1-17,$1000.00,rent,rent,card
7-3-17,$173.00,confetti,car,check
7-13-17,$272.00,car,rent,cash
7-22-17,$59.00,car,food,card
7-23-17,$288.00,car,car,cash
7-25-17,$20.00,blanket,gifts,check
8-1-17,$1000.00,rent,rent,smiles
8-4-17,$203.00,antifreeze,food,check
8-8-17,$63.00,hat,food,card
8-11-17,$253.00,groceries,car,cash
8-13-17,$21.00,book,gifts,smiles
8-16-17,$162.00,bills,misc,cash
8-24-17,$175.00,hat,misc,cash
8-24-17,$201.00,gas,car,cash
8-26-17,$210.00,gas,food,cash
8-27-17,$109.00,confetti,rent,cash
9-1-17,$1000.00,rent,rent,card
9-5-17,$245.00,antifreeze,food,card
9-10-17,$157.00,book,food,check
9-11-17,$60.00,confetti,food,cash
9-28-17,$293.00,groceries,food,cash
10-1-17,$1000.00,rent,rent,check
10-1-17,$91.00,blanket,car,cash
10-6-17,$23.00,car,gifts,smiles
10-8-17,$138.00,groceries,misc,cash
10-12-17,$79.00,hat,car,check
10-15-17,$230.00,hat,food,cash
10-23-17,$142.00,gas,car,card
10-23-17,$245.00,car,gifts,card
10-24-17,$243.00,gas,food,smiles
10-25-17,$112.00,car,gifts,cash
10-26-17,$221.00,hat,misc,smiles
10-28-17,$29.00,antifreeze,food,smiles
11-1-17,$1000.00,rent,rent,smiles
11-4-17,$297.00,hat,car,card
11-5-17,$140.00,confetti,food,card
11-10-17,$93.00,antifreeze,misc,check
11-17-17,$35.00,blanket,gifts,check
11-17-17,$23.00,bills,rent,check
11-18-17,$290.00,confetti,gifts,card
11-19-17,$226.00,car,food,smiles
11-19-17,$228.00,bills,misc,card
11-26-17,$226.00,bills,food,smiles
12-1-17,$1000.00,rent,rent,card
12-1-17,$83.00,gas,rent,card
12-4-17,$261.00,blanket,rent,smiles
12-7-17,$132.00,groceries,car,smiles
12-9-17,$89.00,bills,car,card
12-24-17,$267.00,groceries,misc,smiles
12-26-17,$69.00,blanket,gifts,cash
12-28-17,$177.00,car,food,smiles
