Date,Amount,Description,Category
1-5-18,$164.00,work,other
1-11-18,$2187.00,work,work
1-13-18,$406.00,gift,work
1-15-18,$353.00,refund,other
2-11-18,$2652.00,work,work
3-4-18,$326.00,gift,other
3-11-18,$2271.00,work,work
3-11-18,$197.00,refund,other
3-15-18,$176.00,work,other
4-1-18,$454.00,work,other
4-11-18,$2989.00,work,work
4-26-18,$137.00,work,work
5-11-18,$1540.00,work,work
5-20-18,$388.00,refund,work
5-25-18,$389.00,refund,work
6-11-18,$2077.00,work,work
6-23-18,$423.00,gift,other
7-11-18,$1974.00,work,work
8-1-18,$279.00,refund,other
8-1-18,$118.00,work,other
8-11-18,$1665.00,work,work
8-17-18,$392.00,work,other
8-20-18,$339.00,gift,other
9-11-18,$2456.00,work,work
10-4-18,$85.00,gift,work
10-11-18,$2652.00,work,work
10-18-18,$490.00,work,other
10-21-18,$466.00,work,work
11-2-18,$477.00,gift,other
11-11-18,$2730.00,work,work
12-11-18,$2464.00,work,work
