Date,Amount,Description,Category
2-11-16,$1519.00,work,work
2-21-16,$249.00,work,other
2-22-16,$427.00,work,other
3-8-16,$360.00,gift,work
3-11-16,$1701.00,work,work
3-16-16,$367.00,gift,other
3-24-16,$315.00,work,other
4-5-16,$133.00,work,work
4-11-16,$2253.00,work,work
5-3-16,$428.00,refund,other
5-11-16,$2085.00,work,work
6-8-16,$384.00,work,other
6-9-16,$306.00,refund,other
6-11-16,$1784.00,work,work
7-2-16,$200.00,refund,work
7-11-16,$2438.00,work,work
8-6-16,$386.00,work,other
8-11-16,$1983.00,work,work
8-13-16,$290.00,work,other
8-13-16,$380.00,refund,work
9-11-16,$1820.00,work,work
10-5-16,$453.00,gift,work
10-11-16,$1599.00,work,work
10-18-16,$112.00,gift,work
11-8-16,$315.00,gift,other
11-11-16,$2946.00,work,work
12-2-16,$57.00,gift,other
12-11-16,$2663.00,work,work
12-14-16,$212.00,gift,work
1-13-16,$335.00,refund,other
