Date,Amount,Description,Category
1-11-19,$2815.00,work,work
1-15-19,$216.00,gift,other
1-20-19,$267.00,refund,other
1-23-19,$287.00,refund,other
1-24-19,$63.00,gift,other
1-26-19,$254.00,gift,work
2-1-19,$162.00,work,work
2-10-19,$268.00,gift,other
2-11-19,$2114.00,work,work
3-5-19,$148.00,refund,work
3-10-19,$100.00,refund,other
3-11-19,$2241.00,work,work
4-2-19,$194.00,gift,work
4-11-19,$2852.00,work,work
5-6-19,$248.00,refund,other
5-8-19,$123.00,refund,other
5-11-19,$2644.00,work,work
5-18-19,$118.00,gift,work
6-11-19,$2047.00,work,work
6-11-19,$284.00,work,other
6-15-19,$113.00,refund,other
7-11-19,$2130.00,work,work
7-23-19,$125.00,work,other
8-11-19,$2638.00,work,work
9-11-19,$2152.00,work,work
10-11-19,$2714.00,work,work
11-5-19,$289.00,work,other
11-9-19,$177.00,refund,work
11-11-19,$2936.00,work,work
11-14-19,$81.00,work,other
11-25-19,$193.00,work,other
12-11-19,$2324.00,work,work
