Date,Amount,Description,Category
2-1-16,$291.00,work,work
2-3-16,$414.00,work,other
2-11-16,$1835.00,work,work
2-14-16,$169.00,work,other
3-11-16,$2462.00,work,work
3-13-16,$194.00,gift,work
3-16-16,$202.00,work,work
4-11-16,$2001.00,work,work
4-27-16,$247.00,work,other
5-8-16,$207.00,gift,work
5-11-16,$1538.00,work,work
5-26-16,$439.00,gift,other
6-9-16,$266.00,work,other
6-11-16,$2411.00,work,work
6-11-16,$240.00,refund,other
7-1-16,$453.00,work,work
7-8-16,$283.00,refund,work
7-11-16,$2740.00,work,work
8-11-16,$2007.00,work,work
8-15-16,$276.00,work,work
8-22-16,$460.00,gift,work
9-11-16,$2728.00,work,work
9-18-16,$468.00,work,other
9-28-16,$326.00,work,other
10-11-16,$2489.00,work,work
10-18-16,$439.00,gift,other
10-22-16,$124.00,work,other
11-11-16,$1739.00,work,work
12-7-16,$78.00,gift,work
12-11-16,$2833.00,work,work
1-11-16,$216.00,gift,other
