Date,Amount,Description,Category
1-1-18,$417.00,refund,other
1-11-18,$2082.00,work,work
2-7-18,$297.00,gift,work
2-11-18,$2846.00,work,work
2-21-18,$292.00,work,other
3-11-18,$1587.00,work,work
3-23-18,$494.00,gift,work
4-11-18,$2685.00,work,work
4-25-18,$51.00,refund,other
5-11-18,$2217.00,work,work
5-12-18,$123.00,work,work
5-13-18,$390.00,gift,other
5-26-18,$92.00,work,work
6-11-18,$1917.00,work,work
6-13-18,$491.00,gift,other
6-15-18,$455.00,refund,work
7-11-18,$2010.00,work,work
7-28-18,$361.00,work,other
8-11-18,$2847.00,work,work
8-28-18,$398.00,work,work
9-3-18,$305.00,work,work
9-11-18,$2640.00,work,work
9-12-18,$456.00,refund,work
10-11-18,$2206.00,work,work
10-18-18,$435.00,work,work
10-21-18,$90.00,refund,other
10-23-18,$354.00,refund,work
10-25-18,$89.00,refund,other
11-11-18,$2390.00,work,work
11-11-18,$367.00,gift,work
11-18-18,$198.00,work,other
12-11-18,$2358.00,work,work
