Date,Amount,Description,Category
1-11-19,$2126.00,work,work
2-3-19,$255.00,gift,work
2-11-19,$1853.00,work,work
2-15-19,$63.00,gift,work
2-20-19,$180.00,refund,other
2-23-19,$243.00,refund,work
2-28-19,$360.00,refund,other
3-11-19,$2856.00,work,work
3-13-19,$213.00,gift,work
4-11-19,$2866.00,work,work
4-25-19,$476.00,gift,other
4-25-19,$313.00,work,work
5-9-19,$327.00,gift,other
5-11-19,$2278.00,work,work
5-17-19,$125.00,work,work
5-19-19,$404.00,refund,work
6-11-19,$2233.00,work,work
6-13-19,$372.00,refund,other
6-18-19,$274.00,refund,work
7-2-19,$267.00,work,work
7-11-19,$2210.00,work,work
7-21-19,$309.00,refund,work
8-1-19,$363.00,work,other
8-8-19,$213.00,refund,other
8-11-19,$2454.00,work,work
9-11-19,$2116.00,work,work
9-21-19,$383.00,gift,other
9-24-19,$239.00,refund,other
10-11-19,$2638.00,work,work
11-3-19,$392.00,work,other
11-11-19,$1512.00,work,work
12-11-19,$2136.00,work,work
