Date,Amount,Description,Category,Method of purchase
1-1-20,$1000.00,rent,rent,card
1-10-20,$12.00,blanket,misc,cash
2-1-20,$1000.00,rent,rent,cash
2-1-20,$103.00,bills,misc,card
2-2-20,$137.00,book,food,card
2-5-20,$155.00,antifreeze,gifts,card
2-6-20,$72.00,antifreeze,misc,cash
2-10-20,$57.00,blanket,misc,card
2-10-20,$15.00,antifreeze,misc,card
2-16-20,$15.00,gas,misc,card
2-17-20,$13.00,blanket,car,card
2-20-20,$277.00,gas,rent,smiles
2-24-20,$120.00,groceries,food,check
3-1-20,$1000.00,rent,rent,cash
3-2-20,$21.00,book,car,check
3-4-20,$293.00,bills,misc,smiles
3-5-20,$88.00,confetti,car,card
3-8-20,$120.00,groceries,rent,check
3-10-20,$155.00,book,misc,card
3-12-20,$139.00,car,food,card
3-18-20,$127.00,car,gifts,card
4-1-20,$1000.00,rent,rent,smiles
4-5-20,$45.00,antifreeze,gifts,smiles
4-10-20,$105.00,book,rent,cash
4-14-20,$130.00,blanket,rent,smiles
4-15-20,$97.00,hat,misc,card
4-18-20,$87.00,bills,food,cash
4-24-20,$271.00,groceries,rent,cash
4-24-20,$119.00,groceries,misc,check
4-26-20,$68.00,bills,rent,cash
5-1-20,$1000.00,rent,rent,cash
5-2-20,$94.00,gas,car,cash
5-3-20,$122.00,car,food,card
5-4-20,$8.00,bills,rent,smiles
5-4-20,$13.00,confetti,misc,cash
5-16-20,$206.00,groceries,misc,cash
5-18-20,$232.00,hat,car,smiles
5-19-20,$103.00,confetti,rent,card
5-27-20,$146.00,blanket,gifts,smiles
6-1-20,$1000.00,rent,rent,check
6-3-20,$212.00,book,food,card
6-5-20,$247.00,bills,car,cash
6-7-20,$19.00,book,food,check
6-11-20,$74.00,gas,misc,smiles
6-13-20,$141.00,blanket,gifts,check
6-14-20,$278.00,groceries,misc,check
6-23-20,$68.00,gas,rent,cash
6-23-20,$35.00,gas,misc,smiles
6-24-20,$262.00,book,car,card
6-26-20,$255.00,blanket,gifts,card
7-1-20,$1000.00,rent,rent,check
7-1-20,$53.00,bills,rent,check
7-5-20,$157.00,book,car,check
7-6-20,$40.00,gas,food,card
7-15-20,$261.00,antifreeze,food,smiles
7-15-20,$259.00,hat,misc,check
7-23-20,$236.00,gas,misc,cash
8-1-20,$1000.00,rent,rent,smiles
8-1-20,$259.00,confetti,misc,cash
8-3-20,$259.00,antifreeze,food,check
8-6-20,$204.00,blanket,car,smiles
8-8-20,$300.00,confetti,food,card
8-10-20,$187.00,blanket,misc,smiles
8-13-20,$147.00,gas,gifts,card
8-14-20,$162.00,car,food,check
8-18-20,$125.00,groceries,misc,smiles
8-18-20,$283.00,blanket,gifts,smiles
8-19-20,$138.00,confetti,rent,smiles
8-21-20,$241.00,hat,food,cash
8-28-20,$260.00,confetti,food,cash
8-28-20,$138.00,antifreeze,car,smiles
9-1-20,$1000.00,rent,rent,cash
9-1-20,$132.00,groceries,rent,cash
9-4-20,$78.00,hat,food,cash
9-14-20,$131.00,hat,car,card
9-20-20,$152.00,hat,gifts,card
10-1-20,$1000.00,rent,rent,smiles
10-4-20,$148.00,hat,car,card
10-12-20,$68.00,hat,gifts,cash
10-14-20,$9.00,groceries,gifts,cash
10-16-20,$132.00,antifreeze,gifts,smiles
10-16-20,$119.00,groceries,food,check
10-20-20,$39.00,car,misc,check
10-23-20,$235.00,confetti,car,card
11-1-20,$1000.00,rent,rent,cash
11-2-20,$74.00,groceries,misc,cash
11-5-20,$87.00,car,misc,check
11-9-20,$176.00,bills,misc,smiles
11-9-20,$122.00,blanket,food,cash
11-13-20,$84.00,confetti,misc,smiles
11-22-20,$57.00,blanket,misc,smiles
11-22-20,$47.00,hat,food,card
11-28-20,$177.00,gas,car,smiles
12-1-20,$1000.00,rent,rent,smiles
12-3-20,$141.00,book,gifts,card
12-4-20,$25.00,gas,misc,check
12-4-20,$89.00,car,gifts,smiles
12-13-20,$114.00,antifreeze,misc,card
12-18-20,$49.00,blanket,rent,smiles
12-18-20,$150.00,gas,food,smiles
12-23-20,$282.00,bills,food,check
